"","cluster","engagement","frec","total_n","cluster_prop"
"1","2","never-engaged",1,27,3.7037037037037
"2","2","non-engaged",1,28,3.57142857142857
"3","3","never-engaged",4,27,14.8148148148148
"4","3","non-engaged",4,28,14.2857142857143
"5","4","never-engaged",1,27,3.7037037037037
"6","4","non-engaged",1,28,3.57142857142857
"7","6","never-engaged",5,27,18.5185185185185
"8","6","non-engaged",5,28,17.8571428571429
"9","7","engaged",1,18,5.55555555555556
"10","7","never-engaged",5,27,18.5185185185185
"11","7","non-engaged",5,28,17.8571428571429
"12","7","super-engaged",1,17,5.88235294117647
"13","8","engaged",1,18,5.55555555555556
"14","8","never-engaged",9,27,33.3333333333333
"15","8","non-engaged",9,28,32.1428571428571
"16","8","super-engaged",1,17,5.88235294117647
"17","9","engaged",16,18,88.8888888888889
"18","9","never-engaged",2,27,7.40740740740741
"19","9","non-engaged",3,28,10.7142857142857
"20","9","super-engaged",15,17,88.2352941176471
