"basename"	"name"	"organoid_line"	"tcell_line"	"exp_nr"	"well"	"unfiltered"	"filt_exp_duration"	"filt_minLength"	"filt_DeadCellStart"
"DemoDataset1_20190523_CD4blue"	"13T CD4_TEG 1 well1"	"13T"	"CD4_TEG"	1	"well1"	450	371	255	157
"DemoDataset1_20190523_CD8green"	"13T CD8_TEG 1 well1"	"13T"	"CD8_TEG"	1	"well1"	321	296	161	123
"DemoDataset2_20190523_CD4green"	"13T CD4_TEG 2 well2"	"13T"	"CD4_TEG"	2	"well2"	485	427	269	205
"DemoDataset2_20190523_CD8blue"	"13T CD8_TEG 2 well2"	"13T"	"CD8_TEG"	2	"well2"	648	535	340	171
"DemoDataset3_20190626_CD4blue"	"13T CD4_TEG 3 well1"	"13T"	"CD4_TEG"	3	"well1"	668	522	474	320
"DemoDataset3_20190626_CD8green"	"13T CD8_TEG 3 well1"	"13T"	"CD8_TEG"	3	"well1"	383	371	363	317
"DemoDataset4_20190626_CD4green"	"13T CD4_TEG 4 well2"	"13T"	"CD4_TEG"	4	"well2"	466	385	365	304
"DemoDataset4_20190626_CD8blue"	"13T CD8_TEG 4 well2"	"13T"	"CD8_TEG"	4	"well2"	1171	926	837	423
"DemoDataset5_20190627_CD4green"	"13T CD4_TEG 5 well1"	"13T"	"CD4_TEG"	5	"well1"	337	315	301	287
"DemoDataset5_20190627_CD8blue"	"13T CD8_TEG 5 well1"	"13T"	"CD8_TEG"	5	"well1"	1031	892	812	594
"DemoDataset6_20190627_CD4blue"	"13T CD4_TEG 6 well2"	"13T"	"CD4_TEG"	6	"well2"	561	474	435	343
"DemoDataset6_20190627_CD8green"	"13T CD8_TEG 6 well2"	"13T"	"CD8_TEG"	6	"well2"	410	390	376	354
