X,behav_sign,exp_condition,frec,total_n,prob_beh_eng
1,2,never-engaged,24,321,0.074766355
2,2,nonengager,24,375,0.064
3,3,never-engaged,82,321,0.255451713
4,3,nonengager,82,375,0.218666667
5,4,never-engaged,47,321,0.146417446
6,4,nonengager,47,375,0.125333333
7,5,never-engaged,40,321,0.124610592
8,5,nonengager,40,375,0.106666667
9,6,never-engaged,36,321,0.112149533
10,6,nonengager,36,375,0.096
11,7,engager,15,201,0.074626866
12,7,never-engaged,64,321,0.199376947
13,7,nonengager,74,375,0.197333333
14,8,engager,37,201,0.184079602
15,8,never-engaged,25,321,0.07788162
16,8,nonengager,41,375,0.109333333
17,8,super-engaged,8,130,0.061538462
18,9,engager,149,201,0.741293532
19,9,never-engaged,3,321,0.009345794
20,9,nonengager,31,375,0.082666667
21,9,super-engaged,122,130,0.938461539
2,0,medium-exposed,100,100,1
